,Signal Int (out),Signal Int (input),Fat Fraction,Percentage,Type
Segment_5out,207.706,218.928,0.025629431,2.562943068,Normal
Segment_6out,250.216,259.662,0.01818903,1.818903035,Normal
Segment_7out,198.188,205.532,0.017865831,1.786583111,Normal
Segment_8out,164.702,173.743,0.026018314,2.601831441,Normal
Segment_1out,168.98,170.31,0.003904644,0.390464447,Normal
Segment_2out,210.832,219.33,0.019372635,1.937263484,Normal
Segment_3out,140.181,142.19,0.007064491,0.706449117,Normal
Segment_4out,173.062,183,0.027153005,2.715300546,Normal
Segment_5out,129.87,127.067,0.011029614,1.10296143,Normal
Segment_6out,124.998,126.742,0.006880119,0.688011867,Normal
Segment_7out,154.637,159.139,0.014144867,1.414486707,Normal
Segment_8out,118.636,115.857,0.011993233,1.199323304,Normal
Segment_1out,172.197,120.026,0.217332078,21.7332078,Grasa
Segment_2out,207.977,153.794,0.176154466,17.61544664,Grasa
Segment_3out,223.859,170.609,0.15605859,15.60585901,Grasa
Segment_4out,145.135,104.062,0.197348696,19.7348696,Grasa
Segment_5out,106.531,99.4854,0.035410221,3.5410221,Normal
Segment_6out,169.704,123.166,0.188923891,18.89238913,Grasa
Segment_7out,209.133,158.175,0.161081081,16.10810811,Grasa
Segment_8out,226.124,168.196,0.172203857,17.22038574,Grasa
Segment_1out,333.681,328.352,0.008114767,0.811476708,Normal
Segment_2out,433.786,423.175,0.012537366,1.253736634,Normal
Segment_3out,277.592,282.582,0.008829296,0.882929557,Normal
Segment_4out,192.775,194.405,0.004192279,0.419227901,Normal
Segment_5out,249.479,254.153,0.009195249,0.919524853,Normal
Segment_6out,197.889,201.935,0.010018075,1.001807512,Normal
Segment_7out,219.808,215.241,0.010609038,1.060903824,Normal
Segment_8out,215.432,214.968,0.00107923,0.10792304,Normal
Segment_1out,296.94,297.073,0.000223851,0.02238507,Normal
Segment_2out,113.101,109.711,0.015449681,1.544968144,Normal
Segment_3out,263.558,249.2,0.028808186,2.88081862,Normal
Segment_4out,337.589,314.419,0.036845738,3.684573769,Normal
Segment_5out,142.225,98.9877,0.218397336,21.83973362,Grasa
Segment_6out,422.44,423.218,0.000919148,0.091914805,Normal
Segment_7out,267.083,265.838,0.002341652,0.234165168,Normal
Segment_8out,351.308,338.828,0.018416424,1.841642367,Normal
Segment_1out,185.555,194.029,0.021836942,2.18369419,Normal
Segment_2out,187.056,195.576,0.021781814,2.178181372,Normal
Segment_3out,173.667,187.336,0.036482577,3.648257676,Normal
Segment_4out,176.744,189.195,0.032905204,3.290520363,Normal
Segment_5out,185.695,200.861,0.037752476,3.775247559,Normal
Segment_6out,188.352,203.977,0.038300887,3.830088686,Normal
Segment_7out,222.535,228.044,0.012078809,1.207880935,Normal
Segment_8out,196.894,202.723,0.01437676,1.437676041,Normal
Segment_1out,163.674,164.15,0.001449893,0.144989339,Normal
Segment_2out,170.334,163.318,0.021479567,2.147956747,Normal
Segment_3out,140.195,140.339,0.000513043,0.051304342,Normal
Segment_4out,129.993,138.284,0.029978161,2.997816089,Normal
Segment_5out,245.846,253.761,0.015595383,1.559538306,Normal
Segment_6out,279.35,302.284,0.037934525,3.793452515,Normal
Segment_7out,201.036,193.745,0.018815969,1.881596944,Normal
Segment_8out,181.734,187.217,0.014643435,1.464343516,Normal
Segment_1out,535.93,571.604,0.03120517,3.120517001,Normal
Segment_2out,534.797,580.899,0.039681597,3.968159697,Normal
Segment_3out,537.051,602.59,0.054381088,5.43810883,Grasa
Segment_4out,536.734,621.851,0.06843842,6.843842014,Grasa
Segment_5out,499.775,572.643,0.063624282,6.362428249,Grasa
Segment_6out,534.818,614.53,0.064856069,6.485606887,Grasa
Segment_7out,501.473,553.054,0.046632879,4.663287853,Normal
Segment_8out,515.644,578.028,0.053962784,5.396278381,Grasa
Segment_1out,90.6041,172.221,0.236953972,23.69539719,Grasa
Segment_2out,90.9348,163.665,0.222192283,22.2192283,Grasa
Segment_3out,82.137,169.91,0.258292626,25.82926255,Grasa
Segment_4out,79.6906,147.799,0.230408866,23.04088661,Grasa
Segment_5out,110.409,120.273,0.04100671,4.100670974,Normal
Segment_6out,92.2869,173.893,0.23464458,23.46445803,Grasa
Segment_7out,89.9977,174.062,0.241478037,24.14780366,Grasa
